epoch,train_acc,test_acc
0,0.051220,0.065341
1,0.147967,0.130682
2,0.273984,0.238636
3,0.268293,0.250000
4,0.288618,0.255682
5,0.341463,0.301136
6,0.428455,0.375000
7,0.460976,0.414773
8,0.473171,0.411932
9,0.494309,0.448864
10,0.490244,0.428977
11,0.493496,0.400568
12,0.494309,0.437500
13,0.492683,0.409091
14,0.518699,0.440341
15,0.521951,0.443182
16,0.513821,0.414773
17,0.497561,0.423295
18,0.537398,0.457386
19,0.523577,0.448864
20,0.514634,0.428977
21,0.528455,0.437500
22,0.533333,0.457386
23,0.542276,0.448864
24,0.547967,0.440341
25,0.560163,0.465909
26,0.542276,0.443182
27,0.533333,0.414773
28,0.556911,0.463068
29,0.557724,0.477273
30,0.560976,0.465909
31,0.551220,0.446023
32,0.553659,0.448864
33,0.557724,0.468750
34,0.570732,0.482955
35,0.559350,0.457386
36,0.555285,0.448864
37,0.555285,0.454545
38,0.569919,0.468750
39,0.556098,0.443182
40,0.560163,0.454545
41,0.559350,0.454545
42,0.556911,0.454545
43,0.569106,0.463068
44,0.567480,0.468750
45,0.565854,0.465909
46,0.570732,0.440341
47,0.565854,0.448864
48,0.574797,0.465909
49,0.577236,0.463068
50,0.572358,0.457386
51,0.573171,0.460227
52,0.577236,0.448864
53,0.566667,0.451705
54,0.574797,0.468750
55,0.579675,0.482955
56,0.574797,0.468750
57,0.563415,0.448864
58,0.576423,0.457386
59,0.581301,0.448864
60,0.582927,0.465909
61,0.586179,0.471591
62,0.581301,0.471591
63,0.569919,0.457386
64,0.573984,0.454545
65,0.579675,0.448864
66,0.584553,0.463068
67,0.577236,0.465909
68,0.577236,0.468750
69,0.580488,0.477273
70,0.580488,0.471591
71,0.587805,0.471591
72,0.583740,0.471591
73,0.582927,0.471591
74,0.585366,0.474432
75,0.580488,0.465909
76,0.582114,0.463068
77,0.583740,0.457386
78,0.581301,0.457386
79,0.573171,0.460227
80,0.582114,0.463068
81,0.584553,0.474432
82,0.581301,0.471591
83,0.573984,0.460227
84,0.573171,0.454545
85,0.575610,0.468750
86,0.575610,0.471591
87,0.576423,0.471591
88,0.584553,0.463068
89,0.582114,0.457386
90,0.582114,0.468750
91,0.581301,0.480114
92,0.583740,0.477273
93,0.571545,0.480114
94,0.573984,0.474432
95,0.576423,0.488636
96,0.585366,0.471591
97,0.583740,0.471591
98,0.584553,0.477273
99,0.577236,0.477273
100,0.580488,0.474432
101,0.585366,0.477273
102,0.579675,0.468750
103,0.587805,0.477273
104,0.578862,0.471591
105,0.576423,0.465909
106,0.579675,0.474432
107,0.586179,0.482955
108,0.587805,0.477273
109,0.586179,0.485795
110,0.574797,0.488636
111,0.580488,0.488636
112,0.581301,0.485795
113,0.583740,0.477273
114,0.584553,0.471591
115,0.582114,0.463068
