epoch,train_acc,test_acc
epoch,train_acc,test_acc
0,0.108800,0.110800
1,0.328520,0.326700
2,0.370780,0.363900
3,0.347620,0.343800
4,0.359720,0.362200
5,0.347500,0.346300
6,0.332120,0.322400
7,0.352900,0.342800
8,0.376340,0.371400
9,0.340500,0.330900
10,0.353680,0.340200
11,0.382000,0.380600
12,0.386060,0.374100
13,0.387360,0.379300
14,0.370960,0.360500
15,0.380340,0.372800
16,0.388440,0.377900
17,0.362000,0.355300
18,0.392240,0.379700
19,0.356720,0.344500
20,0.368280,0.362800
21,0.375540,0.364400
22,0.384320,0.377100
23,0.358000,0.344400
24,0.376280,0.367900
25,0.371680,0.368800
26,0.414760,0.398500
27,0.353460,0.344400
28,0.379260,0.367400
29,0.370520,0.358900
30,0.403840,0.387900
31,0.397020,0.381200
32,0.383720,0.376800
33,0.406000,0.395300
34,0.373780,0.356000
35,0.413340,0.403900
36,0.389500,0.375200
37,0.410320,0.393500
38,0.384880,0.366000
39,0.416220,0.395300
40,0.403520,0.389600
41,0.399400,0.386200
42,0.415900,0.398000
43,0.384000,0.368600
44,0.403140,0.396200
45,0.421060,0.403900
46,0.370500,0.357100
47,0.413740,0.395400
48,0.434160,0.420900
49,0.419440,0.400900
50,0.432360,0.407500
51,0.409760,0.389100
52,0.412360,0.393900
53,0.390920,0.375200
54,0.408100,0.392400
55,0.430000,0.400900
56,0.417400,0.399500
57,0.431740,0.409400
58,0.426560,0.416900
59,0.420700,0.403500
60,0.407220,0.392600
61,0.435040,0.408300
62,0.421720,0.398000
63,0.444320,0.416900
64,0.419520,0.401500
65,0.424200,0.395000
66,0.439580,0.413500
67,0.414840,0.391700
68,0.416480,0.398800
69,0.403080,0.382600
70,0.441580,0.421100
71,0.442120,0.413900
72,0.432620,0.412000
73,0.406860,0.381700
74,0.431180,0.398700
75,0.437880,0.414800
76,0.437100,0.417800
77,0.437420,0.408500
78,0.442260,0.411400
79,0.418440,0.389500
80,0.437340,0.407700
81,0.443760,0.414000
82,0.451640,0.423700
