epoch,train_acc,test_acc,train_pos_prob
186,0.765306,0.604444,0.977029
187,0.765306,0.604444,0.977018
188,0.765306,0.604444,0.977026
189,0.765306,0.604444,0.977037
190,0.766582,0.604444,0.978161
191,0.764031,0.600000,0.978313
192,0.766582,0.600000,0.977001
193,0.767857,0.600000,0.978317
194,0.767857,0.600000,0.977036
195,0.766582,0.604444,0.977047
196,0.769133,0.604444,0.977076
197,0.770408,0.600000,0.977062
198,0.769133,0.600000,0.977047
199,0.767857,0.600000,0.979642
200,0.769133,0.600000,0.977034
201,0.770408,0.600000,0.977039
202,0.765306,0.600000,0.977054
203,0.761480,0.600000,0.977059
204,0.758929,0.604444,0.977040
205,0.762755,0.604444,0.977033
206,0.762755,0.604444,0.978327
207,0.761480,0.604444,0.977029
208,0.761480,0.604444,0.978378
209,0.764031,0.604444,0.978536
210,0.765306,0.604444,0.977228
211,0.764031,0.604444,0.977057
212,0.764031,0.604444,0.977048
213,0.760204,0.604444,0.978354
214,0.761480,0.604444,0.977022
215,0.765306,0.604444,0.977021
216,0.769133,0.604444,0.978330
217,0.767857,0.604444,0.978120
218,0.766582,0.604444,0.978355
219,0.767857,0.604444,0.977056
220,0.766582,0.600000,0.977072
221,0.764031,0.600000,0.977080
222,0.764031,0.600000,0.977073
223,0.761480,0.600000,0.979324
224,0.764031,0.600000,0.977071
225,0.765306,0.600000,0.977081
226,0.765306,0.600000,0.977094
227,0.769133,0.600000,0.977078
228,0.767857,0.600000,0.977077
229,0.767857,0.600000,0.977078
230,0.766582,0.600000,0.977078
231,0.766582,0.600000,0.977072
232,0.764031,0.600000,0.977082
233,0.766582,0.600000,0.977093
234,0.766582,0.600000,0.978411
235,0.767857,0.600000,0.978434
236,0.767857,0.600000,0.977146
237,0.766582,0.600000,0.977151
238,0.765306,0.600000,0.977159
239,0.767857,0.600000,0.977149
240,0.765306,0.600000,0.977141
241,0.766582,0.600000,0.977124
242,0.766582,0.600000,0.977126
243,0.766582,0.600000,0.978444
244,0.764031,0.600000,0.977149
245,0.765306,0.600000,0.977145
246,0.767857,0.600000,0.978436
247,0.771684,0.600000,0.977136
248,0.769133,0.600000,0.977134
249,0.767857,0.600000,0.978431
250,0.765306,0.600000,0.977512
251,0.764031,0.600000,0.977134
252,0.761480,0.600000,0.977144
253,0.762755,0.600000,0.978435
254,0.764031,0.600000,0.978445
255,0.765306,0.600000,0.978448
256,0.762755,0.600000,0.977131
257,0.765306,0.600000,0.977135
258,0.764031,0.600000,0.977137
259,0.765306,0.600000,0.977137
260,0.765306,0.600000,0.977136
261,0.765306,0.600000,0.977139
262,0.766582,0.600000,0.978438
263,0.766582,0.600000,0.977137
264,0.764031,0.600000,0.977139
265,0.766582,0.600000,0.977135
266,0.765306,0.600000,0.977787
