epoch,train_acc,test_acc
0,0.108800,0.110800
1,0.315460,0.319100
2,0.371840,0.361400
3,0.402760,0.400200
4,0.410140,0.398200
5,0.440420,0.422600
6,0.442880,0.424100
7,0.445480,0.419600
8,0.459240,0.432600
9,0.463320,0.437000
10,0.482980,0.455200
11,0.466560,0.438600
12,0.470620,0.441500
13,0.509340,0.470000
14,0.486620,0.440700
15,0.490840,0.449700
16,0.495180,0.455700
17,0.495940,0.460100
18,0.499600,0.454900
19,0.505600,0.465300
20,0.513940,0.461100
21,0.486900,0.442500
22,0.514960,0.460800
23,0.499380,0.456500
24,0.508200,0.465100
25,0.529560,0.479100
26,0.512180,0.462400
27,0.527000,0.470400
28,0.533640,0.473300
29,0.523960,0.475800
30,0.537000,0.478200
31,0.537940,0.481600
32,0.536820,0.472200
33,0.554660,0.489500
34,0.542980,0.487700
35,0.552100,0.483700
36,0.538420,0.479200
37,0.533460,0.471400
38,0.539560,0.475900
39,0.541080,0.469200
40,0.549100,0.486100
41,0.553040,0.484900
42,0.565240,0.501100
43,0.571840,0.492600
44,0.574200,0.496700
45,0.554980,0.486500
46,0.556620,0.483000
47,0.563200,0.485600
48,0.570040,0.484100
49,0.556300,0.482800
50,0.571880,0.489000
51,0.564440,0.488300
52,0.577020,0.492000
53,0.583080,0.501300
54,0.586040,0.493700
55,0.583640,0.488000
56,0.580660,0.485500
57,0.588180,0.498300
58,0.583560,0.498100
59,0.585000,0.486600
60,0.595160,0.499100
61,0.575260,0.478800
62,0.590280,0.490200
63,0.595620,0.504600
64,0.600460,0.492100
65,0.610400,0.508400
66,0.606300,0.503800
67,0.607800,0.498900
68,0.617180,0.500400
69,0.604440,0.498800
70,0.611860,0.498200
71,0.615160,0.502600
72,0.615100,0.496000
73,0.619400,0.501700
74,0.620960,0.504700
75,0.623200,0.504100
76,0.627900,0.503000
77,0.623140,0.493400
78,0.616180,0.501800
79,0.639200,0.513900
80,0.620140,0.496500
81,0.624220,0.501500
82,0.629220,0.500300
83,0.640740,0.508700
84,0.642760,0.510500
85,0.645360,0.505200
86,0.647560,0.510100
87,0.646200,0.511200
88,0.649560,0.504200
89,0.650320,0.507500
90,0.652480,0.508800
91,0.656540,0.513200
92,0.646840,0.502600
93,0.657120,0.509900
94,0.654860,0.508600
95,0.660180,0.506500
96,0.653200,0.506900
97,0.669340,0.505200
98,0.675960,0.511300
99,0.667040,0.507300
100,0.680100,0.514000
101,0.675420,0.510400
102,0.676460,0.515300
103,0.669280,0.511300
104,0.678040,0.511100
105,0.678420,0.501200
106,0.687260,0.512300
107,0.689180,0.514400
108,0.680560,0.513400
109,0.688180,0.513300
110,0.693760,0.509700
111,0.702580,0.517300
112,0.693400,0.499400
113,0.699560,0.519000
114,0.695500,0.512800
