epoch,train_acc,test_acc,train_pos_prob
0,0.036990,0.026667,0.124151
1,0.036990,0.040000,0.126512
2,0.049745,0.040000,0.138107
3,0.070153,0.048889,0.152388
4,0.103316,0.075556,0.173317
5,0.156888,0.097778,0.198903
6,0.206633,0.155556,0.230984
7,0.286990,0.213333,0.264520
8,0.340561,0.271111,0.303337
9,0.413265,0.311111,0.342691
10,0.452806,0.351111,0.381720
11,0.502551,0.426667,0.423697
12,0.543367,0.457778,0.460602
13,0.572704,0.493333,0.494035
14,0.604592,0.520000,0.526387
15,0.617347,0.533333,0.554026
16,0.633929,0.551111,0.581582
17,0.658163,0.564444,0.601365
18,0.669643,0.564444,0.624526
19,0.682398,0.586667,0.641368
20,0.688776,0.591111,0.656569
21,0.695153,0.591111,0.671566
22,0.704082,0.600000,0.682876
23,0.704082,0.617778,0.695534
24,0.710459,0.631111,0.706052
25,0.715561,0.640000,0.715371
26,0.718112,0.640000,0.726116
27,0.718112,0.644444,0.730317
28,0.719388,0.648889,0.736485
29,0.721939,0.653333,0.743873
30,0.725765,0.653333,0.750778
31,0.724490,0.653333,0.756311
32,0.725765,0.657778,0.760226
33,0.727041,0.657778,0.763917
34,0.732143,0.657778,0.767787
35,0.730867,0.657778,0.772856
36,0.733418,0.662222,0.776870
37,0.732143,0.666667,0.780937
38,0.733418,0.675556,0.783342
39,0.735969,0.675556,0.784950
40,0.741071,0.680000,0.787540
41,0.741071,0.680000,0.792915
42,0.746173,0.684444,0.793150
43,0.747449,0.684444,0.797618
44,0.751276,0.684444,0.797549
45,0.752551,0.684444,0.800699
46,0.755102,0.684444,0.804968
47,0.762755,0.693333,0.803982
48,0.766582,0.693333,0.807307
49,0.767857,0.693333,0.806759
50,0.766582,0.688889,0.815668
51,0.766582,0.688889,0.812061
52,0.767857,0.688889,0.811866
53,0.769133,0.684444,0.813450
54,0.770408,0.684444,0.815239
55,0.771684,0.684444,0.816831
56,0.770408,0.688889,0.818553
57,0.771684,0.688889,0.820310
58,0.771684,0.688889,0.820240
59,0.771684,0.693333,0.823889
60,0.771684,0.693333,0.825574
61,0.771684,0.693333,0.826464
62,0.774235,0.693333,0.825798
63,0.776786,0.693333,0.825661
64,0.776786,0.693333,0.829957
65,0.774235,0.693333,0.830592
66,0.775510,0.693333,0.828182
67,0.775510,0.693333,0.830684
68,0.775510,0.693333,0.833935
69,0.774235,0.693333,0.834108
70,0.775510,0.693333,0.833641
71,0.775510,0.693333,0.834305
72,0.776786,0.693333,0.834431
73,0.778061,0.693333,0.836909
74,0.778061,0.693333,0.837283
75,0.778061,0.693333,0.837248
76,0.778061,0.693333,0.836144
77,0.778061,0.693333,0.838723
78,0.778061,0.693333,0.839530
79,0.778061,0.697778,0.840605
80,0.780612,0.697778,0.839883
81,0.780612,0.702222,0.840460
82,0.780612,0.702222,0.841561
83,0.780612,0.697778,0.843827
84,0.780612,0.697778,0.843413
85,0.780612,0.697778,0.844680
86,0.780612,0.697778,0.844935
87,0.780612,0.697778,0.845888
88,0.783163,0.697778,0.843861
89,0.781888,0.697778,0.845417
