epoch,train_acc,test_acc
265,0.496748,0.363636
266,0.491870,0.369318
267,0.495122,0.377841
268,0.530894,0.377841
269,0.533333,0.380682
270,0.515447,0.366477
271,0.461789,0.352273
272,0.445528,0.360795
273,0.471545,0.366477
274,0.495122,0.360795
275,0.479675,0.372159
276,0.496748,0.372159
277,0.521138,0.394886
278,0.513821,0.380682
279,0.495935,0.366477
280,0.488618,0.372159
281,0.485366,0.360795
282,0.476423,0.363636
283,0.492683,0.366477
284,0.505691,0.386364
285,0.506504,0.380682
286,0.482114,0.377841
287,0.504878,0.372159
288,0.495935,0.372159
289,0.477236,0.377841
290,0.489431,0.369318
291,0.477236,0.380682
292,0.466667,0.380682
293,0.473171,0.383523
294,0.467480,0.363636
295,0.497561,0.377841
296,0.508943,0.375000
297,0.508943,0.389205
298,0.486179,0.389205
299,0.478049,0.377841
300,0.478862,0.372159
301,0.470732,0.383523
302,0.483740,0.383523
303,0.491870,0.375000
304,0.489431,0.363636
305,0.513821,0.360795
306,0.484553,0.372159
307,0.459350,0.380682
308,0.463415,0.372159
309,0.486992,0.377841
310,0.497561,0.372159
311,0.493496,0.369318
312,0.476423,0.366477
313,0.465854,0.360795
314,0.486992,0.369318
315,0.515447,0.375000
316,0.511382,0.369318
317,0.469106,0.366477
318,0.459350,0.366477
319,0.460163,0.375000
320,0.490244,0.383523
321,0.489431,0.389205
322,0.493496,0.389205
323,0.500000,0.377841
324,0.478049,0.377841
325,0.473984,0.366477
326,0.491870,0.369318
327,0.504065,0.377841
328,0.500813,0.377841
329,0.487805,0.380682
330,0.481301,0.380682
331,0.500000,0.383523
332,0.507317,0.383523
333,0.498374,0.372159
334,0.473984,0.377841
335,0.468293,0.380682
336,0.471545,0.377841
337,0.485366,0.386364
338,0.481301,0.383523
339,0.480488,0.392045
340,0.489431,0.383523
341,0.482927,0.383523
342,0.483740,0.375000
343,0.483740,0.372159
344,0.476423,0.372159
345,0.482927,0.375000
346,0.483740,0.363636
347,0.476423,0.372159
348,0.480488,0.377841
349,0.471545,0.369318
350,0.461789,0.372159
351,0.481301,0.380682
352,0.490244,0.380682
353,0.492683,0.383523
354,0.486179,0.386364
355,0.482927,0.377841
356,0.486992,0.380682
357,0.487805,0.377841
358,0.473984,0.377841
359,0.464228,0.380682
360,0.456911,0.377841
361,0.469106,0.377841
362,0.473984,0.375000
363,0.476423,0.386364
364,0.484553,0.377841
365,0.487805,0.383523
366,0.484553,0.375000
367,0.478049,0.372159
368,0.467480,0.375000
369,0.474797,0.377841
370,0.481301,0.377841
371,0.500000,0.380682
372,0.495935,0.377841
373,0.478049,0.386364
374,0.473984,0.383523
375,0.472358,0.386364
376,0.465041,0.380682
377,0.476423,0.383523
378,0.477236,0.386364
379,0.479675,0.383523
380,0.468293,0.380682
381,0.460163,0.380682
382,0.468293,0.377841
383,0.465041,0.380682
384,0.469106,0.375000
385,0.482114,0.377841
386,0.485366,0.380682
387,0.476423,0.375000
388,0.469106,0.372159
389,0.465041,0.375000
390,0.473984,0.375000
391,0.475610,0.375000
392,0.474797,0.375000
393,0.479675,0.377841
394,0.484553,0.375000
395,0.492683,0.369318
396,0.490244,0.366477
397,0.492683,0.375000
398,0.490244,0.377841
399,0.490244,0.377841
400,0.482927,0.375000
401,0.482114,0.380682
402,0.481301,0.375000
403,0.475610,0.377841
404,0.472358,0.383523
405,0.464228,0.377841
406,0.473171,0.377841
407,0.478862,0.380682
408,0.485366,0.372159
409,0.481301,0.377841
410,0.460976,0.377841
411,0.456911,0.380682
412,0.460163,0.375000
413,0.465854,0.372159
414,0.483740,0.380682
415,0.485366,0.377841
416,0.478049,0.380682
417,0.478862,0.383523
418,0.472358,0.392045
419,0.474797,0.389205
420,0.481301,0.386364
421,0.484553,0.380682
422,0.487805,0.383523
423,0.483740,0.375000
424,0.473171,0.377841
425,0.478862,0.377841
426,0.485366,0.375000
427,0.487805,0.369318
428,0.482927,0.369318
429,0.473171,0.372159
430,0.480488,0.377841
431,0.485366,0.377841
432,0.486992,0.377841
433,0.476423,0.380682
434,0.473984,0.377841
435,0.473984,0.377841
436,0.478862,0.372159
437,0.482114,0.375000
438,0.467480,0.377841
439,0.465854,0.375000
