epoch,train_acc,test_acc
0,0.079967,0.077700
1,0.688617,0.696400
2,0.955050,0.949000
3,0.973250,0.969400
4,0.976000,0.967900
5,0.973450,0.968300
6,0.980817,0.974300
7,0.981533,0.974200
8,0.983967,0.976000
9,0.982800,0.975100
10,0.979433,0.969800
11,0.977233,0.967000
12,0.980400,0.971700
13,0.981333,0.974100
14,0.978250,0.969700
15,0.982817,0.972900
16,0.982450,0.972100
17,0.979900,0.971400
18,0.977883,0.968800
19,0.983250,0.975300
20,0.982267,0.969900
21,0.985067,0.973500
22,0.980217,0.971700
23,0.984317,0.973300
24,0.986817,0.974900
25,0.985483,0.977300
26,0.986067,0.976400
27,0.985833,0.976900
28,0.986583,0.976700
29,0.984067,0.974500
30,0.984583,0.974100
31,0.988167,0.977600
32,0.987850,0.976800
epoch,train_acc,test_acc
0,0.079967,0.077700
1,0.688617,0.696400
2,0.955050,0.949000
3,0.973250,0.969400
4,0.976000,0.967900
5,0.973450,0.968300
6,0.980817,0.974300
7,0.981533,0.974200
8,0.983967,0.976000
9,0.982800,0.975100
10,0.979433,0.969800
11,0.977233,0.967000
12,0.980400,0.971700
13,0.981333,0.974100
14,0.978250,0.969700
15,0.982817,0.972900
16,0.982450,0.972100
17,0.979900,0.971400
18,0.977883,0.968800
19,0.983250,0.975300
20,0.982267,0.969900
21,0.985067,0.973500
22,0.980217,0.971700
23,0.984317,0.973300
24,0.986817,0.974900
25,0.985483,0.977300
26,0.986067,0.976400
27,0.985833,0.976900
28,0.986583,0.976700
29,0.984067,0.974500
30,0.984583,0.974100
31,0.988167,0.977600
32,0.987850,0.976800
33,0.986550,0.978400
34,0.988667,0.978300
35,0.983400,0.975900
36,0.983150,0.970600
37,0.983167,0.974800
38,0.988267,0.979200
39,0.986767,0.978600
40,0.989083,0.979200
41,0.986133,0.972600
42,0.984833,0.973000
43,0.988083,0.977500
44,0.988500,0.975300
45,0.988067,0.978700
46,0.990000,0.979900
47,0.987350,0.974800
48,0.988900,0.977700
49,0.988683,0.979600
50,0.986133,0.977300
51,0.990350,0.979600
52,0.989133,0.980000
53,0.989167,0.980900
54,0.988417,0.977700
55,0.990233,0.980200
56,0.989100,0.976000
57,0.992267,0.981000
58,0.990267,0.979700
59,0.990900,0.977500
60,0.990783,0.980200
61,0.992050,0.979500
62,0.991550,0.979900
63,0.992300,0.981600
64,0.991650,0.979600
