epoch,train_acc,test_acc
0,0.064322,0.075000
1,0.464837,0.461000
2,0.511435,0.488000
3,0.540309,0.524000
4,0.547742,0.537000
5,0.547456,0.539000
6,0.543453,0.529000
7,0.552601,0.534000
8,0.544597,0.530000
9,0.539737,0.523000
10,0.533162,0.524000
11,0.522298,0.515000
12,0.515152,0.510000
13,0.506575,0.501000
14,0.499428,0.494000
15,0.488851,0.483000
16,0.482276,0.479000
17,0.480560,0.478000
18,0.477130,0.478000
19,0.473128,0.474000
20,0.469697,0.468000
21,0.470840,0.468000
22,0.463979,0.458000
23,0.460263,0.451000
24,0.456261,0.447000
25,0.449686,0.443000
26,0.452258,0.448000
27,0.453688,0.448000
28,0.446255,0.440000
29,0.455117,0.446000
30,0.456832,0.452000
31,0.446541,0.443000
32,0.447113,0.442000
33,0.447684,0.439000
34,0.456261,0.446000
35,0.447399,0.443000
36,0.450543,0.447000
37,0.457690,0.448000
38,0.447684,0.440000
39,0.449971,0.439000
40,0.447970,0.438000
41,0.447113,0.440000
42,0.453688,0.446000
43,0.451401,0.436000
44,0.437107,0.430000
45,0.449400,0.442000
46,0.449114,0.439000
47,0.457118,0.441000
48,0.454545,0.442000
49,0.448542,0.430000
50,0.452830,0.438000
51,0.444826,0.432000
52,0.450543,0.436000
53,0.443968,0.432000
54,0.446255,0.437000
55,0.455403,0.448000
56,0.453402,0.443000
57,0.450543,0.438000
58,0.448256,0.436000
59,0.457976,0.438000
60,0.457404,0.443000
61,0.453974,0.428000
62,0.451401,0.429000
63,0.445111,0.427000
64,0.448542,0.433000
65,0.457118,0.430000
66,0.446255,0.436000
67,0.439108,0.417000
68,0.442539,0.424000
69,0.439108,0.430000
70,0.423099,0.412000
71,0.445969,0.427000
72,0.430532,0.411000
73,0.441395,0.428000
74,0.432247,0.415000
75,0.432533,0.417000
76,0.422813,0.412000
77,0.426815,0.416000
78,0.430246,0.412000
79,0.432819,0.415000
80,0.425100,0.407000
81,0.430246,0.412000
82,0.426815,0.409000
83,0.420812,0.405000
84,0.423385,0.414000
85,0.422813,0.412000
86,0.425958,0.412000
87,0.415380,0.403000
88,0.417381,0.406000
89,0.415952,0.404000
90,0.421384,0.409000
91,0.417667,0.410000
92,0.411664,0.398000
93,0.410520,0.399000
94,0.411378,0.402000
95,0.396226,0.382000
96,0.407090,0.393000
97,0.393939,0.387000
98,0.403087,0.388000
99,0.405374,0.395000
100,0.413665,0.397000
101,0.387936,0.377000
102,0.395655,0.377000
103,0.377073,0.359000
104,0.378502,0.361000
105,0.378216,0.363000
106,0.385363,0.375000
107,0.379360,0.371000
108,0.378216,0.365000
109,0.381361,0.369000
110,0.379646,0.364000
111,0.377644,0.359000
112,0.375643,0.359000
113,0.376787,0.358000
114,0.377073,0.361000
115,0.389651,0.374000
116,0.377644,0.362000
117,0.377358,0.362000
118,0.381361,0.367000
119,0.379931,0.362000
120,0.378788,0.365000
121,0.376215,0.361000
122,0.376501,0.360000
123,0.379074,0.363000
124,0.375929,0.362000
125,0.375643,0.359000
126,0.375929,0.361000
127,0.376215,0.361000
128,0.377930,0.359000
129,0.375643,0.359000
130,0.376215,0.358000
131,0.376501,0.356000
132,0.375929,0.358000
133,0.374786,0.356000
134,0.375929,0.362000
135,0.376215,0.353000
136,0.374786,0.358000
137,0.376787,0.363000
138,0.377644,0.362000
139,0.375071,0.355000
140,0.377073,0.357000
141,0.376215,0.362000
142,0.377073,0.360000
143,0.375643,0.360000
144,0.375357,0.356000
145,0.377073,0.352000
146,0.377644,0.357000
147,0.375643,0.357000
148,0.375929,0.357000
149,0.375357,0.355000
150,0.371069,0.354000
151,0.372499,0.354000
152,0.376215,0.356000
153,0.376787,0.359000
154,0.376501,0.357000
155,0.375929,0.362000
156,0.376501,0.358000
157,0.376501,0.352000
158,0.376501,0.353000
159,0.375929,0.357000
160,0.375643,0.355000
161,0.375929,0.358000
162,0.376501,0.354000
163,0.376215,0.356000
164,0.376501,0.358000
165,0.376501,0.358000
166,0.376501,0.360000
167,0.376215,0.355000
168,0.376215,0.356000
169,0.376501,0.357000
170,0.376501,0.355000
171,0.376215,0.360000
172,0.375643,0.350000
173,0.376501,0.358000
174,0.375643,0.360000
175,0.375929,0.355000
176,0.376501,0.354000
177,0.376501,0.355000
178,0.375929,0.353000
179,0.376215,0.355000
180,0.376501,0.355000
181,0.376501,0.357000
182,0.376501,0.358000
183,0.376501,0.358000
184,0.376215,0.355000
185,0.376215,0.358000
186,0.376501,0.355000
187,0.376501,0.355000
188,0.376215,0.355000
189,0.376215,0.357000
190,0.376501,0.351000
191,0.375929,0.356000
192,0.376215,0.350000
193,0.376501,0.354000
194,0.376215,0.354000
195,0.376215,0.356000
196,0.376501,0.356000
197,0.376501,0.355000
198,0.376501,0.357000
199,0.376501,0.358000
200,0.375643,0.355000
201,0.375643,0.355000
202,0.376501,0.352000
203,0.376501,0.351000
204,0.376501,0.355000
205,0.376501,0.359000
206,0.376501,0.356000
207,0.376501,0.356000
208,0.376501,0.351000
209,0.375929,0.356000
210,0.376501,0.356000
211,0.376501,0.355000
212,0.376501,0.354000
213,0.376501,0.354000
214,0.376501,0.352000
215,0.376501,0.353000
216,0.376501,0.354000
217,0.376501,0.355000
218,0.376501,0.356000
219,0.375929,0.355000
220,0.376501,0.356000
221,0.376501,0.360000
222,0.376501,0.355000
223,0.376501,0.355000
224,0.376501,0.355000
225,0.376501,0.357000
226,0.376501,0.357000
227,0.376501,0.355000
228,0.376501,0.355000
229,0.376501,0.352000
230,0.376501,0.359000
231,0.376501,0.356000
232,0.376501,0.355000
233,0.376501,0.357000
234,0.376501,0.357000
235,0.376501,0.355000
236,0.376501,0.357000
237,0.376501,0.357000
238,0.376501,0.355000
239,0.376501,0.352000
240,0.376501,0.359000
241,0.376501,0.357000
242,0.376501,0.359000
243,0.376501,0.355000
244,0.376501,0.354000
245,0.376501,0.353000
246,0.376501,0.356000
247,0.376501,0.355000
248,0.376501,0.354000
249,0.376501,0.358000
250,0.376501,0.354000
251,0.376501,0.356000
252,0.376501,0.354000
253,0.376501,0.354000
254,0.376501,0.357000
255,0.376501,0.355000
256,0.376501,0.356000
257,0.376501,0.358000
258,0.376501,0.355000
259,0.376501,0.352000
260,0.376501,0.356000
261,0.376501,0.352000
262,0.376501,0.359000
263,0.376501,0.358000
264,0.376501,0.355000
265,0.376501,0.353000
266,0.376501,0.360000
267,0.376501,0.352000
268,0.376501,0.355000
269,0.376501,0.359000
270,0.376501,0.356000
271,0.376501,0.354000
272,0.376501,0.357000
273,0.376501,0.353000
274,0.376501,0.359000
275,0.376501,0.355000
276,0.376501,0.355000
277,0.376501,0.358000
278,0.376501,0.357000
279,0.376501,0.356000
280,0.376501,0.357000
281,0.376501,0.357000
282,0.376501,0.354000
283,0.376501,0.351000
284,0.376501,0.356000
285,0.376501,0.356000
286,0.376501,0.357000
287,0.376501,0.355000
288,0.376501,0.356000
289,0.376501,0.359000
290,0.376501,0.357000
291,0.376501,0.355000
292,0.376501,0.357000
293,0.376501,0.357000
294,0.376501,0.356000
295,0.376501,0.357000
296,0.376501,0.353000
297,0.376501,0.355000
298,0.376501,0.357000
299,0.376501,0.357000
300,0.376501,0.355000
301,0.376501,0.356000
302,0.376501,0.356000
303,0.376501,0.357000
304,0.376501,0.352000
305,0.376501,0.354000
306,0.376501,0.355000
307,0.376501,0.357000
308,0.376501,0.355000
309,0.376501,0.354000
310,0.376501,0.353000
311,0.376501,0.356000
312,0.376501,0.359000
313,0.376501,0.353000
314,0.376501,0.356000
315,0.376501,0.355000
316,0.376501,0.357000
317,0.376501,0.356000
318,0.376501,0.354000
319,0.376501,0.357000
320,0.376501,0.354000
321,0.376501,0.357000
322,0.376501,0.354000
323,0.376501,0.356000
324,0.376501,0.352000
325,0.376501,0.356000
326,0.376501,0.358000
327,0.376501,0.357000
328,0.376501,0.352000
329,0.376501,0.357000
330,0.376501,0.357000
331,0.376501,0.355000
332,0.376501,0.354000
333,0.376501,0.357000
334,0.376501,0.355000
335,0.376501,0.357000
336,0.376501,0.358000
337,0.376501,0.355000
338,0.376501,0.358000
339,0.376501,0.355000
340,0.376501,0.356000
341,0.376501,0.355000
342,0.376501,0.357000
343,0.376501,0.357000
344,0.376501,0.356000
345,0.376501,0.355000
346,0.376501,0.354000
347,0.376501,0.353000
348,0.376501,0.354000
349,0.376501,0.354000
350,0.376501,0.358000
351,0.376501,0.355000
