epoch,train_acc,test_acc
0,0.108800,0.110800
1,0.223700,0.217400
2,0.253300,0.251600
3,0.299380,0.300200
4,0.275240,0.274700
5,0.317200,0.310100
6,0.265760,0.268800
7,0.307340,0.293100
8,0.335880,0.330200
9,0.319860,0.307100
10,0.318180,0.312800
11,0.296660,0.285800
12,0.311200,0.309400
13,0.278960,0.269200
14,0.302700,0.297900
15,0.260540,0.244900
16,0.283720,0.277600
17,0.254440,0.245400
18,0.295600,0.283400
19,0.286580,0.279700
20,0.293340,0.282400
21,0.286140,0.269400
22,0.296060,0.281200
23,0.256720,0.245000
24,0.300300,0.292100
25,0.308240,0.297000
26,0.287640,0.279000
27,0.273060,0.264600
28,0.260380,0.250700
29,0.282260,0.276700
30,0.314680,0.306000
31,0.304100,0.289500
32,0.312500,0.299900
33,0.301260,0.287200
34,0.271240,0.258200
35,0.258600,0.245500
36,0.317640,0.301700
37,0.283880,0.273200
38,0.328740,0.314700
39,0.292220,0.284400
40,0.302580,0.283500
41,0.310760,0.305900
42,0.325140,0.318400
43,0.308160,0.297400
44,0.310920,0.292200
45,0.283700,0.271500
46,0.310640,0.299400
47,0.302160,0.290800
48,0.320020,0.304100
49,0.311460,0.286600
50,0.315960,0.304200
51,0.334280,0.315600
52,0.315260,0.302700
53,0.331100,0.315500
54,0.313600,0.296300
55,0.311700,0.295300
56,0.316300,0.296300
57,0.324280,0.304800
58,0.261960,0.249200
59,0.341960,0.316200
60,0.316060,0.295600
61,0.309600,0.287100
62,0.333400,0.313800
63,0.323160,0.308300
64,0.295600,0.268100
65,0.329000,0.309500
66,0.327260,0.298900
67,0.318160,0.300800
68,0.303860,0.278600
69,0.304500,0.281900
70,0.332380,0.313000
71,0.327960,0.304400
72,0.310920,0.292200
73,0.323720,0.299300
74,0.331100,0.302100
75,0.331140,0.310400
76,0.326560,0.304600
77,0.341100,0.317000
78,0.338300,0.315700
79,0.339900,0.313600
80,0.341640,0.314700
81,0.339480,0.311500
82,0.333520,0.305900
83,0.327300,0.299600
84,0.357600,0.328400
85,0.351300,0.322200
86,0.346740,0.321400
87,0.319940,0.290100
88,0.343660,0.314700
89,0.345900,0.320800
90,0.353600,0.323900
91,0.334780,0.302000
92,0.309340,0.279400
93,0.348540,0.318200
94,0.325020,0.290600
95,0.363960,0.331600
96,0.345560,0.313000
97,0.327260,0.296800
98,0.357080,0.325900
99,0.343080,0.312700
100,0.327700,0.299600
101,0.359740,0.329500
102,0.351460,0.316900
103,0.359220,0.320000
104,0.338780,0.299900
105,0.357560,0.315600
106,0.354840,0.311000
107,0.358800,0.321200
108,0.358960,0.328100
109,0.350120,0.313600
110,0.359320,0.320500
111,0.364620,0.326500
112,0.337360,0.294800
113,0.338720,0.293000
114,0.366700,0.326100
115,0.358060,0.316400
116,0.346060,0.308800
