epoch,train_acc,test_acc,train_pos_prob
0,0.064322,0.075000,0.161403
1,0.612064,0.598000,0.638183
2,0.678674,0.662000,0.694041
3,0.669811,0.634000,0.726679
4,0.640652,0.616000,0.740926
5,0.679817,0.636000,0.755721
6,0.662093,0.630000,0.775226
7,0.686392,0.628000,0.783681
8,0.708119,0.674000,0.806907
9,0.699828,0.639000,0.809401
10,0.703545,0.670000,0.827021
11,0.668096,0.619000,0.807230
12,0.684391,0.629000,0.818430
13,0.721555,0.680000,0.851986
14,0.696970,0.643000,0.837702
15,0.666667,0.609000,0.815884
16,0.702401,0.648000,0.856684
17,0.702115,0.629000,0.838331
18,0.709262,0.638000,0.859146
19,0.708977,0.642000,0.873700
20,0.706118,0.650000,0.891546
21,0.686392,0.612000,0.865556
22,0.658662,0.570000,0.867389
23,0.662379,0.599000,0.863491
24,0.686964,0.620000,0.893657
25,0.676958,0.603000,0.884525
26,0.684105,0.602000,0.873022
27,0.696970,0.619000,0.885592
28,0.638365,0.567000,0.880234
29,0.661521,0.589000,0.882622
30,0.680675,0.622000,0.906932
31,0.702687,0.620000,0.901731
32,0.651515,0.581000,0.875767
33,0.682390,0.605000,0.905432
34,0.669811,0.579000,0.894459
35,0.704117,0.621000,0.901413
36,0.729274,0.648000,0.902378
37,0.684391,0.611000,0.926754
38,0.695540,0.622000,0.912271
39,0.677816,0.591000,0.914117
40,0.728702,0.654000,0.925787
41,0.712979,0.637000,0.923092
42,0.694969,0.619000,0.925605
43,0.690966,0.622000,0.904985
44,0.708977,0.632000,0.928196
45,0.710120,0.632000,0.934788
46,0.730417,0.639000,0.934648
47,0.716409,0.643000,0.938770
48,0.721555,0.653000,0.942258
49,0.703545,0.631000,0.937687
50,0.707261,0.612000,0.942542
51,0.733562,0.614000,0.951271
52,0.744711,0.640000,0.952694
53,0.713836,0.623000,0.948331
54,0.722413,0.614000,0.956459
55,0.720698,0.628000,0.962515
56,0.738422,0.629000,0.954985
57,0.728416,0.636000,0.952428
58,0.735563,0.643000,0.964703
59,0.727844,0.639000,0.956553
60,0.728702,0.640000,0.953263
61,0.740423,0.627000,0.963653
62,0.737850,0.645000,0.962900
63,0.735849,0.639000,0.963824
64,0.721269,0.617000,0.970345
65,0.764151,0.667000,0.971442
66,0.747570,0.655000,0.974515
67,0.730132,0.630000,0.963099
68,0.726415,0.627000,0.968674
69,0.750429,0.656000,0.971931
70,0.746998,0.646000,0.974700
71,0.729274,0.620000,0.975048
72,0.743282,0.625000,0.984432
73,0.740423,0.629000,0.980205
74,0.722985,0.613000,0.975314
75,0.736135,0.610000,0.984544
76,0.759291,0.634000,0.991812
77,0.754431,0.645000,0.981884
78,0.763865,0.642000,0.987844
79,0.747284,0.640000,0.990969
80,0.741852,0.620000,0.987416
81,0.764437,0.653000,0.989550
82,0.756146,0.652000,0.985365
83,0.745569,0.633000,0.986731
84,0.755003,0.609000,0.988131
85,0.760435,0.646000,0.993129
86,0.758719,0.627000,0.991996
87,0.761292,0.630000,0.993759
88,0.767296,0.648000,0.993628
89,0.761292,0.615000,0.988779
90,0.759577,0.637000,0.991387
91,0.749285,0.625000,0.988302
