epoch,train_acc,test_acc
0,0.108800,0.110800
1,0.260780,0.259700
2,0.280720,0.280600
3,0.290420,0.296400
4,0.281400,0.279900
5,0.285640,0.288500
6,0.289460,0.291500
7,0.291140,0.289000
8,0.260100,0.258900
9,0.257120,0.259200
10,0.261960,0.257900
11,0.253920,0.249000
12,0.253280,0.250800
13,0.247060,0.244300
14,0.247960,0.246700
15,0.251620,0.248200
16,0.250380,0.241600
17,0.248920,0.244200
18,0.256160,0.250800
19,0.250860,0.242500
20,0.241740,0.238000
21,0.259100,0.252200
22,0.253260,0.248900
23,0.243080,0.243400
24,0.261740,0.257200
25,0.259520,0.253700
26,0.252140,0.249500
27,0.245900,0.243600
28,0.265540,0.256000
29,0.264500,0.259000
30,0.240500,0.231800
31,0.260560,0.256100
32,0.179520,0.173900
33,0.235800,0.230100
34,0.245180,0.244200
35,0.263420,0.256100
36,0.235780,0.229400
37,0.254340,0.242800
38,0.255600,0.251600
39,0.264340,0.263500
40,0.257360,0.251600
41,0.265140,0.258800
42,0.248820,0.246500
43,0.263980,0.255700
44,0.255840,0.248400
45,0.264500,0.257600
46,0.259940,0.254600
47,0.265720,0.251100
48,0.263800,0.256400
49,0.275040,0.265200
50,0.240840,0.230000
51,0.256880,0.244100
52,0.273620,0.266100
53,0.257160,0.248800
54,0.274100,0.257800
55,0.261920,0.256500
56,0.273380,0.260900
57,0.260220,0.252000
58,0.267720,0.255400
59,0.277260,0.261400
60,0.277160,0.265300
61,0.258960,0.247500
62,0.258640,0.244000
63,0.270480,0.257200
64,0.272760,0.259400
65,0.276660,0.265900
66,0.281220,0.270500
67,0.275260,0.259100
68,0.274940,0.262300
69,0.262600,0.246900
70,0.277300,0.265800
71,0.280680,0.266600
72,0.280940,0.268400
73,0.277360,0.258900
74,0.273640,0.258600
75,0.283580,0.268400
76,0.278700,0.262200
77,0.273340,0.258500
78,0.286180,0.272600
79,0.279720,0.263300
80,0.275700,0.261300
81,0.278460,0.264800
82,0.274760,0.254000
83,0.283160,0.265000
84,0.275900,0.261000
85,0.277920,0.260100
86,0.279140,0.263400
87,0.274320,0.257000
88,0.286020,0.270400
89,0.283920,0.268700
90,0.286020,0.263700
91,0.283520,0.260700
92,0.287040,0.264900
93,0.275300,0.251000
94,0.282100,0.261000
95,0.277020,0.258300
96,0.263420,0.248300
97,0.283540,0.267900
98,0.292980,0.266000
99,0.291360,0.270500
100,0.278520,0.259100
101,0.293140,0.274500
102,0.287100,0.265600
103,0.289000,0.265400
104,0.287200,0.267300
105,0.292600,0.273600
106,0.294540,0.270100
107,0.286740,0.263900
108,0.297580,0.271100
109,0.287840,0.263000
110,0.289600,0.261100
111,0.289160,0.269600
112,0.280680,0.256400
113,0.299720,0.272600
114,0.302020,0.270600
115,0.296880,0.270300
116,0.289040,0.264000
117,0.294900,0.269300
118,0.299560,0.273000
119,0.302580,0.277000
120,0.297480,0.271800
121,0.302240,0.270400
122,0.296940,0.269200
123,0.304220,0.277100
124,0.304040,0.275000
125,0.303620,0.273900
126,0.303420,0.275700
127,0.285200,0.251900
128,0.303340,0.269600
129,0.306260,0.273200
130,0.308560,0.274600
131,0.306380,0.275900
132,0.298820,0.272500
133,0.304560,0.273100
134,0.301740,0.265900
135,0.308180,0.274600
136,0.309760,0.278500
137,0.304300,0.267600
138,0.310240,0.275800
139,0.291900,0.262100
140,0.306800,0.272600
141,0.309820,0.280000
142,0.304020,0.270000
143,0.310380,0.274400
144,0.304580,0.268000
145,0.307740,0.271700
146,0.312280,0.272500
147,0.316240,0.274900
148,0.308600,0.271600
149,0.314620,0.276300
150,0.313480,0.276300
151,0.313600,0.273600
152,0.313420,0.272000
153,0.314820,0.275100
154,0.315400,0.275900
155,0.313020,0.273100
156,0.308580,0.269600
157,0.314800,0.277800
158,0.317600,0.280100
159,0.320940,0.279300
160,0.313940,0.275900
161,0.312340,0.273800
162,0.318260,0.276500
163,0.320460,0.276300
164,0.316640,0.277000
165,0.311620,0.271300
166,0.309400,0.266600
167,0.319020,0.277600
168,0.318260,0.279600
169,0.317560,0.278300
170,0.321440,0.276700
171,0.313580,0.273000
172,0.315340,0.270800
173,0.321680,0.279300
174,0.320700,0.274300
175,0.322800,0.278600
176,0.311420,0.272400
177,0.325340,0.281300
178,0.314240,0.268300
179,0.323380,0.277300
180,0.323860,0.277000
181,0.325420,0.286700
182,0.320880,0.272300
183,0.314980,0.269100
184,0.329120,0.280300
185,0.327460,0.277200
186,0.316620,0.273500
187,0.326680,0.273600
188,0.326220,0.279900
189,0.320600,0.275300
190,0.323800,0.277900
191,0.328860,0.278500
192,0.320900,0.276600
193,0.326060,0.275200
194,0.325160,0.279700
195,0.328660,0.280500
196,0.324900,0.273700
197,0.327500,0.279200
