epoch,train_acc,test_acc
0,0.064322,0.075000
1,0.443396,0.439000
2,0.409091,0.412000
3,0.418811,0.417000
4,0.434820,0.421000
5,0.453116,0.454000
6,0.453116,0.441000
7,0.489137,0.483000
8,0.554317,0.553000
9,0.519726,0.519000
10,0.479131,0.480000
11,0.498285,0.493000
12,0.488565,0.478000
13,0.500286,0.490000
14,0.542310,0.537000
15,0.542596,0.532000
16,0.529445,0.509000
17,0.528302,0.530000
18,0.543168,0.539000
19,0.567753,0.564000
20,0.527444,0.523000
21,0.517724,0.508000
22,0.520011,0.514000
23,0.555174,0.550000
24,0.545740,0.536000
25,0.551172,0.535000
26,0.572041,0.542000
27,0.546598,0.538000
28,0.512864,0.499000
29,0.562893,0.552000
30,0.522584,0.508000
31,0.539165,0.522000
32,0.556318,0.551000
33,0.572899,0.559000
34,0.550600,0.538000
35,0.570040,0.545000
36,0.577473,0.559000
37,0.573185,0.540000
38,0.565752,0.531000
39,0.572041,0.549000
40,0.564894,0.543000
41,0.583762,0.567000
42,0.562321,0.534000
43,0.569182,0.541000
44,0.575472,0.563000
45,0.571184,0.556000
46,0.584048,0.562000
47,0.570040,0.547000
48,0.572899,0.548000
49,0.564894,0.548000
50,0.588622,0.569000
51,0.581475,0.569000
52,0.568039,0.552000
53,0.570898,0.558000
54,0.594911,0.571000
55,0.597198,0.567000
56,0.590909,0.566000
57,0.564894,0.546000
58,0.568611,0.545000
59,0.587193,0.559000
60,0.600629,0.573000
61,0.589480,0.573000
62,0.587193,0.558000
63,0.585192,0.567000
64,0.580332,0.555000
65,0.591481,0.573000
66,0.569754,0.551000
67,0.579474,0.559000
68,0.588622,0.557000
69,0.588622,0.564000
70,0.570898,0.554000
71,0.583190,0.564000
72,0.568897,0.547000
73,0.582333,0.561000
74,0.582047,0.555000
75,0.600915,0.573000
76,0.603774,0.585000
77,0.603488,0.569000
78,0.591195,0.563000
79,0.606346,0.588000
80,0.590909,0.565000
81,0.554889,0.534000
82,0.586049,0.568000
83,0.574042,0.544000
84,0.584906,0.555000
85,0.586049,0.563000
86,0.603774,0.582000
87,0.594340,0.569000
88,0.574042,0.545000
89,0.582905,0.568000
90,0.590909,0.582000
91,0.602058,0.576000
92,0.584906,0.556000
93,0.579760,0.553000
94,0.560606,0.539000
95,0.580903,0.562000
96,0.570898,0.554000
97,0.590337,0.561000
98,0.586621,0.561000
99,0.598342,0.576000
100,0.586335,0.568000
101,0.598628,0.557000
102,0.588336,0.562000
103,0.601487,0.577000
104,0.586621,0.557000
105,0.601772,0.574000
106,0.593768,0.571000
107,0.596055,0.575000
108,0.598628,0.565000
109,0.597484,0.573000
110,0.592338,0.558000
111,0.590909,0.552000
112,0.598056,0.572000
113,0.605775,0.575000
114,0.600057,0.568000
115,0.603774,0.577000
116,0.602630,0.577000
117,0.593482,0.561000
118,0.602058,0.567000
119,0.596341,0.553000
120,0.598628,0.572000
121,0.597198,0.568000
